"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","sig_genest_in_geneset","prop_genes"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.000511919380689237,0.0056414549932521,8,35,637,13916,"HLA-A, HLA-C, HLA-B, HSP90AB1, HSPA5, PSME2, HSP90AA1, PDIA3",0.186046511627907
"REACTOME_RRNA_PROCESSING_IN_THE_NUCLEUS_AND_CYTOSOL",4.08954468933703e-13,9.59503926035849e-12,35,154,610,13797,"EBNA1BP2, WDR43, C1D, PNO1, MPHOSPH10, NOP58, NCL, EXOSC7, RRP9, GNL3, EXOSC9, DIMT1, RIOK2, RPP40, WDR46, BYSL, LTV1, BUD23, LAS1L, DKC1, DCAF13, BOP1, RCL1, EXOSC2, EMG1, NOC4L, EXOSC8, TBL3, UTP4, NIP7, TSR1, UTP18, NOL11, WDR18, RRP1",0.185185185185185
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",2.32501833920692e-08,4.33605984286281e-07,21,93,624,13858,"NUDC, CDC20, BUB1, TUBA4A, SEC13, DYNC1LI1, MAD2L1, CCNB1, CENPH, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, NUP37, CCNB2, PLK1, BIRC5, TUBB6, PPP2R1A, CENPM",0.184210526315789
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.000601823950044559,0.00650089039107539,8,36,637,13915,"DDOST, ALG6, RFT1, ALG3, ALG2, ALG8, ALG1, DPM1",0.181818181818182
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",3.22164661086374e-05,0.000439352056556542,12,55,633,13896,"ALG6, UAP1, NAGK, RFT1, ALG3, GMDS, NANS, ALG2, DOLK, ALG8, ALG1, DPM1",0.17910447761194
"PID_PLK1_PATHWAY",0.000704057453070963,0.00742151382898958,8,37,637,13914,"NUDC, CDC20, BUB1, CCNB1, KIF20A, PLK1, TUBG1, PPP2R1A",0.177777777777778
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR",4.12062941539834e-06,6.42229527457084e-05,15,70,630,13881,"LMNA, PDIA6, EXOSC7, SRPRB, DNAJB11, EXOSC9, ASNS, HSPA5, EXOSC2, EXOSC8, EIF2S1, HERPUD1, ATP6V0D1, XBP1, KDELR3",0.176470588235294
"REACTOME_M_PHASE",1.42789649207566e-20,6.77319596893281e-19,60,280,585,13671,"NUDC, CDC20, PSMA5, PSMD4, LMNA, NME7, VRK2, BUB1, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, MAD2L1, CCNB1, CENPH, KIF20A, PTTG1, TUBB2A, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, VRK1, HSP90AA1, CCNB2, PSMA4, PLK1, NUP93, PSMB6, UBB, PSMD11, PSMB3, PSMD3, TUBG1, PSMD12, BIRC5, TUBB6, PSMF1, RAE1, PSMA7, PSMD8, PSMC4, PPP2R1A, CENPM",0.176470588235294
"REACTOME_SIGNALING_BY_NOTCH",3.52534661038046e-11,7.84929214678589e-10,31,145,614,13806,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, DLGAP5, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.176136363636364
"REACTOME_METABOLISM_OF_RNA",3.31097903052672e-38,7.22455624460931e-35,113,533,532,13418,"DNAJC8, SNRNP40, PPIE, PPIH, EBNA1BP2, MAGOH, PSMA5, WDR77, BCAS2, RBM8A, SF3B4, PSMD4, EPRS, WDR43, SRSF7, C1D, PNO1, MPHOSPH10, PSMD14, NOP58, NCL, SEC13, EXOSC7, RRP9, GNL3, PSMD6, TRMT10C, PSMD2, EIF4E, EXOSC9, PLRG1, DIMT1, CDK7, CCNH, RIOK2, THOC3, RPP40, WDR46, BYSL, LTV1, PSMB1, HNRNPA2B1, PSMA2, BUD23, PSMC2, GPKOW, LAS1L, CSTF2, DKC1, DCAF13, PUF60, BOP1, RCL1, PSMB7, EXOSC2, PSMD13, PSMA1, PSMC3, POLR2G, DCPS, EMG1, AAAS, METTL1, NUP37, RAN, NOC4L, EXOSC8, PRMT5, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, ANP32A, WDR61, PSMA4, SNRPA1, TBL3, NUP93, POLR2C, UTP4, NIP7, MRM3, TSR1, PSMB6, EIF4A1, ELAC2, UBB, PSMD11, PSMB3, PSMD3, UTP18, PSMD12, NOL11, EIF4A3, PSMF1, TRMT6, SNRPB2, CTNNBL1, TP53RK, RAE1, PSMA7, WDR18, ELAVL1, HNRNPM, DDX39A, PSMD8, PSMC4, SNRPA, PPP2R1A, PRPF31, RTCB, RRP1",0.174922600619195
"REACTOME_CELL_CYCLE_CHECKPOINTS",7.35874233729969e-16,2.16983456486323e-14,46,217,599,13734,"NUDC, CDC20, PSMA5, PSMD4, YWHAQ, BUB1, ORC4, PSMD14, SEC13, DYNC1LI1, PSMD6, PSMD2, MAD2L1, CCNB1, CENPH, PSMB1, PSMA2, RFC2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, CCNB2, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, BIRC5, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A, CENPM",0.174904942965779
"REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT",3.11117353903923e-07,5.34533910408158e-06,19,91,626,13860,"CAPZB, ARF1, TUBA4A, DYNC1LI1, COPB2, KIF3A, KIF20A, TMED9, TUBB2A, CAPZA2, TUBB4B, COPB1, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6, NAPA, KDELR3",0.172727272727273
"REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS",0.00020239831325904,0.00242655560181992,10,48,635,13903,"SEC13, RPP40, CSTF2, AAAS, NUP37, RAN, NUP93, ELAC2, RAE1, RTCB",0.172413793103448
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",2.80101659124479e-06,4.42885376963488e-05,16,77,629,13874,"CAPZB, ARF1, TUBA4A, SEC13, DYNC1LI1, KIF3A, KIF20A, TUBB2A, CAPZA2, TUBB4B, CTSC, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6",0.172043010752688
"REACTOME_MITOCHONDRIAL_TRANSLATION",3.23969983766348e-06,5.08562952933936e-05,16,78,629,13873,"MRPL19, MRPS9, MRPL3, MRPS22, MRPL47, MRPL1, MRPS30, MRPL13, MRPS35, TSFM, MRPS31, MRPL46, ERAL1, MRPS23, MRPL4, MRPL39",0.170212765957447
"REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE",0.000234214051589485,0.00276245978685544,10,49,635,13902,"YWHAQ, TUBA4A, KIF3A, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.169491525423729
"REACTOME_GLUCOSE_METABOLISM",2.93582464626778e-05,0.00040544109988331,13,64,632,13887,"ENO1, MDH1, SEC13, MDH2, PGK1, GOT1, TPI1, AAAS, NUP37, PKM, NUP93, RAE1, PPP2R1A",0.168831168831169
"REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER",2.93582464626778e-05,0.00040544109988331,13,64,632,13887,"PPIE, COPS4, CDK7, CCNH, RFC2, COPS6, COPS5, POLR2G, POLR2C, UBB, ZNF830, GPS1, XRCC1",0.168831168831169
"KEGG_RNA_DEGRADATION",0.000543160967819344,0.00589640413821795,9,45,636,13906,"ENO1, C1D, HSPD1, EXOSC7, EXOSC9, EXOSC2, DCPS, EXOSC8, WDR61",0.166666666666667
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY",0.000543160967819344,0.00589640413821795,9,45,636,13906,"EXOSC7, EIF4E, EXOSC9, EXOSC2, DCPS, EXOSC8, WDR61, EIF4A1, EIF4A3",0.166666666666667
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",7.11496891018758e-08,1.27252968541224e-06,22,110,623,13841,"CAPZB, CD55, ARF1, TUBA4A, SEC13, DYNC1LI1, COPB2, LMAN2, TMED9, TUBB2A, CAPZA2, TUBB4B, COPB1, CTSC, TRAPPC4, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6, NAPA, KDELR3",0.166666666666667
"REACTOME_DEUBIQUITINATION",1.61602321082735e-12,3.75123685747369e-11,39,202,606,13749,"CDC20, PSMA5, PSMD4, UCHL5, PSMD14, PSMD6, RUVBL1, ACTL6A, PSMD2, PSMB1, ACTB, PSMA2, PSMC2, VDAC3, PSMB7, PSMD13, PSMA1, PSMC3, OTUB1, RCE1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PTRH2, PSMD12, PSMF1, PSMA7, ADRM1, PSMD8, PSMC4, UFD1",0.161825726141079
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",1.42236563312479e-14,3.56735840399803e-13,47,248,598,13703,"PSMA5, PHGDH, PSMD4, EPRS, PYCR2, PSMD14, PDHB, PSMD6, PSMD2, AIMP1, PAPSS1, ALDH7A1, RARS, PSMB1, AIMP2, PSMA2, ASNS, PSMC2, PDHA1, SMS, PSAT1, PSMB7, PSMD13, PSMA1, PSMC3, SLC3A2, ACAT1, GOT1, OAT, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, FAH, NQO1, SRR, PSMB6, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.159322033898305
"REACTOME_GLYCOLYSIS",0.000406517350436389,0.00461990030548021,10,53,635,13898,"ENO1, SEC13, PGK1, TPI1, AAAS, NUP37, PKM, NUP93, RAE1, PPP2R1A",0.158730158730159
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",6.28068051681551e-07,1.06236006881329e-05,20,106,625,13845,"NUDC, CDC20, BUB1, TUBA4A, SEC13, DYNC1LI1, MAD2L1, CENPH, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, NUP37, PLK1, BIRC5, TUBB6, PPP2R1A, CENPM",0.158730158730159
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",6.6253330366404e-10,1.40354142582032e-08,31,166,614,13785,"MAGOH, PSMA5, RBM8A, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, EIF4A3, PSMF1, PSMA7, PSMD8, PSMC4",0.157360406091371
"REACTOME_CELLULAR_RESPONSES_TO_STRESS",6.70951819676176e-17,2.15296598607855e-15,56,300,589,13651,"CAPZB, PRDX1, PSMA5, PSMD4, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, TUBB2A, HSP90AB1, PSMB1, PSMA2, PSMC2, CAPZA2, RBBP7, DNAJA1, PSMB7, HSPA5, TUBB4B, PSMD13, PSMA1, PSMC3, STIP1, HSPA14, PRDX3, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, ACTR10, PSMA3, PSMC1, HSP90AA1, PSMA4, NUP93, ACD, TERF2IP, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, RAE1, PSMA7, PRDX2, PSMD8, PSMC4",0.157303370786517
"REACTOME_NEUTROPHIL_DEGRANULATION",1.0949095322124e-15,3.10271766141229e-14,52,280,593,13671,"DDOST, PPIE, PSMA5, CD58, ILF2, CD55, DEGS1, PSMD14, XRCC5, DYNC1LI1, PSMD6, NIT2, CD47, PTX3, PSMD2, HEXB, HLA-A, HLA-C, HLA-B, HSP90AB1, FUCA2, PSMB1, PSMA2, GUSB, PSMC2, PRDX4, SDCBP, GGH, ERP44, PSMB7, TUBB4B, PSMD13, COPB1, PSMC3, CTSC, DERA, CD63, PA2G4, CCT2, HMGB1, ACTR10, HSP90AA1, ANXA2, PKM, HMOX2, PSMD11, PSMD3, PSMD12, CPNE1, PLAUR, XRCC6, CCT8",0.156626506024096
"PID_TELOMERASE_PATHWAY",0.000463075215626479,0.00523538922537293,10,54,635,13897,"HDAC1, XRCC5, NCL, RBBP7, DKC1, PINX1, HSP90AA1, ACD, TERF2IP, XRCC6",0.15625
"REACTOME_INFECTIOUS_DISEASE",7.50188074411918e-16,2.18254717115574e-14,54,298,591,13653,"GTF2B, PSMA5, PSMD4, ARF1, PSMD14, XRCC5, SEC13, PSMD6, PSMD2, SLC25A4, CDK7, CCNH, SKP1, HLA-A, HSP90AB1, PSMB1, PSMA2, PSMC2, SLC25A5, PSMB7, CDK9, PSMD13, PSMA1, TSG101, PSMC3, POLR2G, CD9, AAAS, NUP37, RAN, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, PSMA4, NUP93, POLR2C, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, KPNA2, PSMF1, RAE1, NELFCD, PSMA7, PSMD8, PSMC4, RANBP1, XRCC6",0.153409090909091
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",5.08847415076258e-08,9.25254216413663e-07,25,138,620,13813,"SDHB, NDUFS2, FH, SUCLG1, UQCRC1, PDHB, SDHA, NDUFAF4, MDH2, PDHA1, IDH3G, LDHA, NDUFS3, ATP5F1C, NDUFA9, ATP5F1B, SUCLA2, NDUFAF1, IDH3A, TRAP1, UQCRC2, SLC16A3, IDH3B, NDUFAF5, UQCRFS1",0.153374233128834
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",4.9592387137657e-12,1.12719363264966e-10,40,221,605,13730,"CAPZB, DDOST, ALG6, UAP1, CD55, ARF1, NAGK, TUBA4A, SEC13, DYNC1LI1, RFT1, COPB2, ALG3, LMAN2, TMED9, GMDS, TUBB2A, CAPZA2, DERL1, NANS, ALG2, DOLK, TUBB4B, COPB1, ALG8, CTSC, TRAPPC4, TUBA1B, TUBA1A, TUBA1C, ACTR10, PSMC1, PDIA3, ALG1, DERL2, UBB, TUBB6, DPM1, NAPA, KDELR3",0.153256704980843
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",0.000191667281567242,0.00231059673137968,12,68,633,13883,"MAGOH, RBM8A, SRSF7, SEC13, EIF4E, THOC3, AAAS, NUP37, NUP93, EIF4A3, RAE1, DDX39A",0.15
"REACTOME_NUCLEOTIDE_EXCISION_REPAIR",2.27555616983707e-05,0.00032452703023428,16,93,629,13858,"PPIE, RUVBL1, ACTL6A, COPS4, CDK7, CCNH, ACTB, RFC2, COPS6, COPS5, POLR2G, POLR2C, UBB, ZNF830, GPS1, XRCC1",0.146788990825688
"REACTOME_CELL_CYCLE_MITOTIC",5.51389698063035e-19,1.97234806749761e-17,70,411,575,13540,"NUDC, HDAC1, CDC20, PSMA5, PSMD4, LMNA, NME7, VRK2, BUB1, ORC4, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, MAD2L1, CCNB1, CENPH, CDK7, CCNH, SKP1, KIF20A, PTTG1, TUBB2A, HSP90AB1, PSMB1, PSMA2, RFC2, MCM7, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, VRK1, HSP90AA1, CCNB2, PSMA4, PLK1, NUP93, PSMB6, UBB, PSMD11, PSMB3, PSMD3, TUBG1, PSMD12, TK1, BIRC5, TYMS, TUBB6, PSMF1, RAE1, PSMA7, PSMD8, PSMC4, PPP2R1A, CENPM",0.145530145530146
"REACTOME_SIGNALING_BY_WNT",9.71922028340854e-10,2.01974653889499e-08,34,201,611,13750,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, RUVBL1, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, DKK1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, LEO1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.14468085106383
"REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER",0.000273110743524152,0.00316982788494521,12,71,633,13880,"RUVBL1, ACTL6A, COPS4, CDK7, CCNH, ACTB, RFC2, COPS6, COPS5, UBB, GPS1, XRCC1",0.144578313253012
"KEGG_SPLICEOSOME",9.34771569422305e-06,0.000137815646248613,18,107,627,13844,"SNRNP40, PPIE, PPIH, MAGOH, BCAS2, RBM8A, SF3B4, SRSF7, PLRG1, THOC3, PUF60, SNRPA1, EIF4A3, SNRPB2, CTNNBL1, HNRNPM, SNRPA, PRPF31",0.144
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",1.11899481595576e-06,1.835824577756e-05,22,132,623,13819,"CAPZB, CD55, ARF1, TUBA4A, SEC13, DYNC1LI1, COPB2, LMAN2, TMED9, TUBB2A, CAPZA2, TUBB4B, COPB1, CTSC, TRAPPC4, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6, NAPA, KDELR3",0.142857142857143
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",4.18594758212977e-09,8.53620338710949e-08,32,192,613,13759,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, ACTB, SEPT7, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, ETV4, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.142857142857143
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2PLUS",0.00030608096185255,0.00351509820401191,12,72,633,13879,"ECM1, TAGLN2, SCCPDH, TUBA4A, ANXA5, TIMP1, MAGED2, CLU, HSPA5, CD9, CD63, LGALS3BP",0.142857142857143
"REACTOME_OTHER_INTERLEUKIN_SIGNALING",1.43366755648767e-08,2.79309161451437e-07,30,181,615,13770,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, ACTB, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.14218009478673
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",0.000342364460303625,0.00391120027425398,12,73,633,13878,"NME7, TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, HSP90AA1, PLK1, TUBG1, TUBB6, PPP2R1A",0.141176470588235
"REACTOME_TRNA_PROCESSING",7.02871017277501e-05,0.000881416413620406,15,92,630,13859,"EPRS, SEC13, TRMT10C, RPP40, CSTF2, AAAS, METTL1, NUP37, RAN, NUP93, ELAC2, TRMT6, TP53RK, RAE1, RTCB",0.14018691588785
"REACTOME_CELL_CYCLE",2.68130199698047e-19,9.75100159568566e-18,78,495,567,13456,"NUDC, HDAC1, CDC20, PSMA5, PSMD4, LMNA, NME7, YWHAQ, VRK2, BUB1, ORC4, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, RUVBL1, PSMD2, MAD2L1, CCNB1, CENPH, CDK7, CCNH, SKP1, KIF20A, PTTG1, TUBB2A, HSP90AB1, PSMB1, PSMA2, RFC2, MCM7, PSMC2, RBBP7, DKC1, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, VRK1, HSP90AA1, CCNB2, PSMA4, PLK1, NUP93, ACD, TERF2IP, PSMB6, WRAP53, UBB, PSMD11, PSMB3, PSMD3, TUBG1, PSMD12, TK1, BIRC5, TYMS, TUBB6, PSMF1, RAE1, PSMA7, PSMD8, PSMC4, RUVBL2, PPP2R1A, CENPM",0.136125654450262
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",1.52444281201091e-08,2.94365859806e-07,32,204,613,13747,"DNAJC8, SNRNP40, PPIE, PPIH, MAGOH, BCAS2, RBM8A, SF3B4, SRSF7, SEC13, EIF4E, PLRG1, THOC3, HNRNPA2B1, GPKOW, CSTF2, PUF60, POLR2G, AAAS, NUP37, SNRPA1, NUP93, POLR2C, EIF4A3, SNRPB2, CTNNBL1, RAE1, ELAVL1, HNRNPM, DDX39A, SNRPA, PRPF31",0.135593220338983
"KEGG_PARKINSONS_DISEASE",0.000119327826480553,0.00147103569141563,15,97,630,13854,"SDHB, NDUFS2, UQCRC1, PPID, SLC25A4, SDHA, SLC25A5, VDAC3, NDUFS3, ATP5F1C, NDUFA9, ATP5F1B, UQCRC2, UBB, UQCRFS1",0.133928571428571
"REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI",1.86591964840798e-14,4.57464794699575e-13,59,382,586,13569,"CAPZB, PRDX1, PSMA5, PSMD4, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, TUBB2A, HSP90AB1, PSMB1, PSMA2, PSMC2, CAPZA2, RBBP7, MTERF3, RRAGA, DNAJA1, PSMB7, HSPA5, TUBB4B, PSMD13, PSMA1, PSMC3, STIP1, HSPA14, PRDX3, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, ACTR10, PSMA3, PSMC1, HSP90AA1, PSMA4, NUP93, ACD, TERF2IP, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, RAE1, PSMA7, PRDX2, PSMD8, PSMC4, TOMM40",0.133786848072562
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS",1.60725542113046e-08,3.07634327097075e-07,33,216,612,13735,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, RBBP7, RRAGA, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, KPNA2, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.132530120481928
"KEGG_OOCYTE_MEIOSIS",0.000713008204808371,0.00747973030236474,12,80,633,13871,"CDC20, YWHAQ, CALM2, BUB1, MAD2L1, CCNB1, SKP1, PTTG1, PPP1CA, CCNB2, PLK1, PPP2R1A",0.130434782608696
"REACTOME_MRNA_SPLICING",2.37309837660685e-06,3.80742695423247e-05,24,162,621,13789,"DNAJC8, SNRNP40, PPIE, PPIH, MAGOH, BCAS2, RBM8A, SF3B4, SRSF7, PLRG1, HNRNPA2B1, GPKOW, CSTF2, PUF60, POLR2G, SNRPA1, POLR2C, EIF4A3, SNRPB2, CTNNBL1, ELAVL1, HNRNPM, SNRPA, PRPF31",0.129032258064516
"REACTOME_MITOTIC_PROMETAPHASE",2.61160110318297e-06,4.1594989833177e-05,24,163,621,13788,"NUDC, CDC20, NME7, BUB1, TUBA4A, SEC13, DYNC1LI1, MAD2L1, CCNB1, CENPH, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, NUP37, HSP90AA1, CCNB2, PLK1, TUBG1, BIRC5, TUBB6, PPP2R1A, CENPM",0.128342245989305
"REACTOME_HIV_LIFE_CYCLE",5.94223242380657e-05,0.000758242757236605,18,125,627,13826,"GTF2B, XRCC5, SEC13, CDK7, CCNH, CDK9, TSG101, POLR2G, AAAS, NUP37, RAN, NUP93, POLR2C, UBB, RAE1, NELFCD, RANBP1, XRCC6",0.125874125874126
"REACTOME_TRANSLATION",1.70060337245282e-08,3.22671005103657e-07,36,252,609,13699,"DDOST, EIF3I, EIF2B3, EPRS, EIF2B4, MRPL19, MRPS9, FARSB, MRPL3, SRPRB, MRPS22, MRPL47, MRPL1, EIF4E, PPA2, AIMP1, MRPS30, HARS, RARS, AIMP2, MRPL13, SPCS2, MRPS35, YARS2, TSFM, EIF2B1, MRPS31, EIF2S1, EIF2B2, MRPL46, EIF4A1, ERAL1, MRPS23, MRPL4, FARSA, MRPL39",0.125
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION",7.33296823170494e-09,1.48153117422039e-07,39,279,606,13672,"HDAC1, PSMA5, PSMD4, LMNA, PSMD14, PSMD6, PSMD2, PAPSS1, SKP1, PSMB1, ACTB, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, POLR2G, DKK1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, PSMA4, POLR2C, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.122641509433962
"REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC",2.5767072461706e-05,0.000362733884589951,21,152,624,13799,"CAPZB, ARF1, TUBA4A, DYNC1LI1, COPB2, KIF3A, KIF20A, TMED9, TUBB2A, CAPZA2, TUBB4B, COPB1, TUBA1B, TUBA1A, TUBA1C, ARL1, ACTR10, TUBB6, PLIN3, NAPA, KDELR3",0.121387283236994
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",1.04252940559643e-08,2.04936861532559e-07,39,283,606,13668,"CDC20, PSMA5, PSMD4, PSMD14, RNF25, SEC13, PSMD6, PSMD2, SKP1, HLA-A, HLA-C, HLA-B, PSMB1, PSMA2, PSMC2, BCAP31, PSMB7, HSPA5, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PDIA3, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, UBE2S",0.12111801242236
"KEGG_CELL_CYCLE",0.000644822281719593,0.00689706969956937,14,103,631,13848,"HDAC1, CDC20, YWHAQ, BUB1, ORC4, MAD2L1, CCNB1, CDK7, CCNH, SKP1, PTTG1, MCM7, CCNB2, PLK1",0.11965811965812
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",0.000702632011939184,0.00742151382898958,14,104,631,13847,"SDHB, NDUFS2, UQCRC1, SDHA, NDUFAF4, NDUFS3, ATP5F1C, NDUFA9, ATP5F1B, NDUFAF1, TRAP1, UQCRC2, NDUFAF5, UQCRFS1",0.11864406779661
